Gene_1,Gene_2
HSD17B11,KLHL8
HSD17B11,TNIP3
HSD17B11,LARP1B
HSD17B11,LAMTOR3
HSD17B11,CCNG2
HSPA4L,NDNF
HSPA4L,DNAJB14
HSPA4L,PRSS12
HSPA4L,INTU
HSPA4L,CDS1
INPP4B,ARHGAP24
INPP4B,UNC5C
INPP4B,PTPN13
INPP4B,DKK2
INPP4B,GPAT3
INPP4B,CDKL2
INPP4B,CCNI
INPP4B,ANXA3
INTS12,NPNT
INTS12,ABRAXAS1
INTS12,RCHY1
INTS12,G3BP2
INTU,OTUD4
JADE1,AREG
JADE1,AFF1
JADE1,LIN54
JADE1,GPRIN3
JADE1,CNOT6L
JADE1,GSTCD
JADE1,SMAD1
JADE1,ANKRD50
JADE1,CISD2
JADE1,ZNF827
JADE1,G3BP2
JADE1,TET2
JADE1,SMARCA5
KLHL8,CAMK2D
KLHL8,BLTP1
KLHL8,SMARCA5
KLHL8,PCDH18
KLHL8,CDS1
LARP1B,LINC01094
LARP1B,GPRIN3
LARP1B,BMP3
LARP1B,AREG
LARP1B,HNRNPDL
LARP7,CDS1
LARP7,CCNI
LARP7,BLTP1
LARP7,LSM6
LEF1,HADH
LEF1,CXCL9
LEF1,FAM13A
LEF1,CNOT6L
LIN54,PCDH18
LIN54,MGST2
LINC01088,HHIP-AS1
LINC01088,DNAJB14
LINC01088,G3BP2
LINC01088,FRAS1
LINC01088,NPNT
LINC01088,GPAT3
LINC01088,COX18
LINC01088,WDFY3
LINC01091,SLC39A8
LINC01094,SHROOM3
MAD2L1,PLK4
MAD2L1,BLTP1
MAML3,UNC5C
MAML3,INTU
MAML3,WDFY3-AS2
MANBA,ANXA5
MANBA,CXCL1
MANBA,GPRIN3
MANBA,LINC01094
MAPK10,PPP3CA
MAPK10,CDS1
MCUB,ADH5
MCUB,ANKRD50
MCUB,CDS1
MCUB,SHROOM3
MCUB,NAAA
METAP1,SGMS2
METAP1,CAMK2D
MFSD8,SEPTIN7P14
MFSD8,ABHD18
MFSD8,DNAJB14
MFSD8,HNRNPDL
MFSD8,INTU
MFSD8,ANXA5
MMAA,DKK2
MTHFD2L,SDAD1
MTHFD2L,AIMP1
MTHFD2L,HNRNPDL
MTHFD2L,CDS1
MTHFD2L,INTU
NAA15,MRPS18C
NAA15,ABCE1
NAA15,MGST2
NAA15,ANXA5
NAA15,SEC24B
NAP1L5,ELF2
NAP1L5,PCDH18
NAP1L5,NOCT
NAP1L5,CXCL8
NAP1L5,GPAT3
NAP1L5,AREG
NAP1L5,CNOT6L
NAP1L5,ARHGEF38
NDNF,PRKG2
NDNF,ANKRD50
NDNF,ARSJ
NDNF,PAQR3
NDNF,NPNT
NDNF,LIN54
NDUFC1,ALPK1
NDUFC1,C4orf3
NDUFC1,DAPP1
NDUFC1,ZGRF1
NDUFC1,BLTP1
NDUFC1,INTU
NDUFC1,PPP3CA
NFKB1,PAQR3
NFKB1,RASGEF1B
NFKB1,BMP3
NFKB1,OTUD4
NFKB1,ABCE1
NPNT,USP53
NPNT,ARHGAP24
NUDT9,SLC39A8
NUDT9,DAPP1
NUDT9,SMARCA5
NUP54,THAP9-AS1
NUP54,KLHL8
NUP54,MTHFD2L
OSTC,CDS1
OSTC,PPM1K
OSTC,ARHGEF38
PAPSS1,PTPN13
PAPSS1,MAPK10
PAPSS1,PLAC8
PAPSS1,PPP3CA
PARM1,CDKL2
PARM1,BLTP1
PARM1,NFKB1
PARM1,MAML3
PARM1,PTPN13
PARM1,INPP4B
PARM1,SMARCAD1
PARM1,ANXA3
PARM1,MAPK10
PARM1,CDS1
PDE5A,ANKRD50
PDE5A,LARP1B
PDE5A,NUDT9
PDE5A,AREG
PDE5A,SEPTIN11
PDE5A,ADH1B
PDE5A,INPP4B
PDE5A,DNAJB14
PDE5A,PPM1K
PDE5A,AFF1
PDE5A,WDFY3-AS2
PDE5A,GTF2IP12
PDE5A,FLJ20021
PDE5A,G3BP2
PDE5A,PKD2
PDLIM5,SYNPO2
PDLIM5,LARP1B
PDLIM5,THAP9
PDLIM5,SETD7
PDLIM5,PKD2
PDLIM5,INPP4B
PDLIM5,NPNT
PF4,PARM1
PF4,CXCL5
PKD2,ADH1B
PKD2,BMP3
PKD2,RAB33B
PKD2,SEPTIN11
PKD2,AREG
PKD2,BLTP1
PKD2,TIGD2
PKD2,EIF4E
PKD2,FGF2
PKD2,AFF1
PLA2G12A,KLHL8
PLA2G12A,ENOPH1
PLA2G12A,PARM1
PLA2G12A,SPARCL1
PLAC8,OTUD4
PLAC8,CDS1
PPA2,PYURF
PPA2,COX18
PPA2,KLHL8
PPA2,OTUD4
PPA2,G3BP2
PPBP,SLC39A8
PPBP,CXCL5
PPBP,PF4
PPBP,MAML3
PRDM5,ZGRF1
PRDM5,EMCN
PRDM5,ABRAXAS1
PRDM5,INTU
PRDM5,NDNF
PRSS12,FAM47E
PRSS12,CDS1
PRSS12,SCD5
PRSS12,ADH5
PRSS12,MCUB
PRSS12,FAM13A
PTPN13,PPP3CA
PTPN13,ARHGEF38
PTPN13,USO1
PTPN13,BLTP1
PTPN13,C4orf3
PTPN13,ALPK1
PTPN13,RASGEF1B
PTPN13,FAM47E
PTPN13,GTF2IP12
PTPN13,BMP3
PTPN13,CDKL2
PTPN13,CDS1
PTPN13,CAMK2D
PYURF,PPP3CA
RAB33B,GPAT3
RAB33B-AS1,GPAT3
RAB33B-AS1,TSPAN5
RAB33B-AS1,CDS1
RAP1GDS1,PDLIM5
RAP1GDS1,MAD2L1
RAP1GDS1,SEC24D
RAP1GDS1,TMEM150C
RAP1GDS1,NFKB1
RAP1GDS1,GPRIN3
RAP1GDS1,ANXA3
RASGEF1B,CXCL11
RASGEF1B,ABCE1
RASGEF1B,NOCT
RASGEF1B,HPSE
RASSF6,CXCL8
RASSF6,CDS1
RASSF6,ADH1C
RASSF6,GPRIN3
RASSF6,MANBA
RASSF6,SLC39A8
RASSF6,DNAJB14
RASSF6,NDNF
RNF150,MAML3
RPL34,ABHD18
RPL34,LARP7
RPL34,ABRAXAS1
RPL34,NDUFC1
RPL34,BANK1
RPL34,GAR1
RPL34,HERC6
RPL34,SNHG8
RPL34,LSM6
RPL34,NDNF
RPL34,BLTP1
RPL34,OSTC
RPL34,HADH
RPL34,SEPTIN11
RPL34,CCNI
RPL34,AIMP1
RPL34,WDFY3-AS2
RPL34,AFF1
RPL34,SEC24D
RPL34,HNRNPD
SCARB2,CYP2U1
SCARB2,DNAJB14
SCARB2,CXCL1
SCARB2,SEPTIN11
SCARB2,ANKRD50
SCARB2,FLJ20021
SCARB2,DAPP1
SCARB2,BDH2
SCARB2,PDE5A
SCARB2,ELMOD2
SCD5,PPP3CA
SCD5,PLAC8
SCD5,CCNI
SCD5,ANXA3
SCLT1,AFF1
SCLT1,G3BP2
SCLT1,PARM1
SCLT1,TNIP3
SCOC,SPARCL1
SCOC,ENOPH1
SCOC,C4orf3
SCOC,SMARCAD1
SCOC,ANXA3
SCOC,PPP3CA
