Gene_1,Gene_2
GYPE,PRKG2
GYPE,SCD5
GYPE,SMARCA5
H2AZ1,BMP2K
H2AZ1,SLC10A7
HADH,SEPTIN7P14
HADH,HNRNPDL
HADH,CDS1
HADH,OTUD4
HADH,BMP2K
HERC5,ZGRF1
HERC5,HERC6
HERC5,DAPP1
HERC5,ABHD18
HERC5,H2AZ1
HERC5,HADH
HERC5,CCNI
HERC5,GPRIN3
HERC5,PPM1K
HERC5,MANBA
HERC6,MANBA
HERC6,GPRIN3
HHIP,BMP3
HHIP,SLC39A8
HHIP,EMCN
HHIP,HHIP-AS1
HHIP,CDS1
HHIP,PKD2
HHIP,FGF2
HHIP,HERC6
HHIP,FLJ20021
HHIP,ANXA3
HHIP,PLK4
HHIP,C4orf3
HHIP,AREG
HHIP,NDNF
HHIP,PTPN13
HHIP-AS1,CDKL2
HHIP-AS1,PAQR3
HHIP-AS1,AREG
HHIP-AS1,ADH5
HHIP-AS1,CYP2U1
HHIP-AS1,SPRY1
HHIP-AS1,CDS1
HHIP-AS1,BMP3
HHIP-AS1,ARHGEF38
HHIP-AS1,SLC39A8
HHIP-AS1,PTPN13
HNRNPD,CCNI
HNRNPD,LAMTOR3
HNRNPDL,ABCE1
HNRNPDL,PGRMC2
HNRNPDL,ANTXR2
HPGDS,EMCN
HPGDS,BMP2K
HSD17B11,SMARCA5
HSD17B11,TNIP3
HSD17B11,KLHL8
HSD17B11,NDNF
HSD17B11,HADH
HSD17B11,LARP1B
HSD17B11,LAMTOR3
HSD17B11,ALPK1
HSD17B11,FRAS1
HSD17B11,SCD5
HSD17B11,CCNG2
HSD17B11,SCLT1
HSPA4L,INTU
HSPA4L,ADH1C
HSPA4L,LINC01091
HSPA4L,DNAJB14
HSPA4L,PRSS12
HSPA4L,HHIP-AS1
HSPA4L,PF4
HSPA4L,BBS12
HSPA4L,CDS1
HSPA4L,FAM47E
INPP4B,CDKL2
INPP4B,ARHGAP24
INPP4B,GPAT3
INPP4B,UNC5C
INPP4B,PTPN13
INPP4B,DKK2
INPP4B,CCNI
INPP4B,ANXA3
INTS12,ABRAXAS1
INTS12,G3BP2
INTS12,NPNT
INTS12,RCHY1
INTU,OTUD4
JADE1,GPRIN3
JADE1,AFF1
JADE1,BMP3
JADE1,SEC24B
JADE1,LIN54
JADE1,TET2
JADE1,SMAD1
JADE1,SMARCA5
JADE1,G3BP2
JADE1,PDE5A
JADE1,ZNF827
JADE1,CNOT6L
JADE1,AREG
JADE1,GSTCD
JADE1,ZNF330
JADE1,CISD2
JADE1,NPNT
JADE1,ANKRD50
KLHL8,CDS1
KLHL8,CAMK2D
KLHL8,SMARCA5
KLHL8,PCDH18
LARP1B,HNRNPDL
LARP1B,ANTXR2
LARP1B,ANXA5
LARP1B,AREG
LARP1B,LINC01094
LARP1B,BMP3
LARP1B,GPRIN3
LARP7,CDS1
LARP7,CCNI
LARP7,BLTP1
LARP7,LSM6
LARP7,PARM1
LEF1,CXCL9
LEF1,CNOT6L
LEF1,HADH
LEF1,NOCT
LEF1,FAM13A
LIN54,PCDH18
LIN54,MGST2
LINC01088,G3BP2
LINC01088,HHIP-AS1
LINC01088,WDFY3
LINC01088,GPAT3
LINC01088,NPNT
LINC01088,FRAS1
LINC01088,DNAJB14
LINC01088,COX18
LINC01091,ADH1C
LINC01091,SLC39A8
LINC01094,SHROOM3
LINC01094,HPSE
LINC02615,ADH1B
MAD2L1,BLTP1
MAD2L1,PLK4
MAML3,WDFY3-AS2
MAML3,SEC24B
MAML3,INTU
MAML3,UNC5C
MAML3,USO1
MANBA,CXCL1
MANBA,LINC01094
MANBA,GPRIN3
MANBA,ANXA5
MAPK10,CDS1
MAPK10,PPP3CA
MCUB,ANKRD50
MCUB,ANXA3
MCUB,CDS1
MCUB,SHROOM3
MCUB,NAAA
MCUB,HPSE
METAP1,SGMS2
METAP1,CAMK2D
MFSD8,ABHD18
MFSD8,ANXA5
MFSD8,INTU
MFSD8,HNRNPDL
MFSD8,SEPTIN7P14
MFSD8,CCNI
MMAA,DKK2
MTHFD2L,INTU
MTHFD2L,CDS1
MTHFD2L,HNRNPDL
MTHFD2L,AIMP1
MTHFD2L,SDAD1
MTHFD2L,TSPAN5
MTHFD2L,PGRMC2
NAA15,MGST2
NAA15,SEC24B
NAA15,MRPS18C
NAA15,ANXA5
NAA15,MANBA
NAA15,LARP1B
NAA15,ABCE1
NAP1L5,CXCL2
