Gene_1,Gene_2
SCD5,USP53
SCD5,PGRMC2
MANBA,ANK2
MANBA,USP38
MANBA,SLC9B2
MANBA,TIFA
MANBA,TNIP3
MANBA,RASSF6
MANBA,GAR1
MANBA,SGMS2
MANBA,FLJ20021
MANBA,UBE2D3
MANBA,EIF4E
MANBA,NFKB1
MANBA,ARSJ
MANBA,FAM13A
MANBA,PPM1K
MANBA,ABCE1
CCSER1,STBD1
DNAJB14,TET2
DNAJB14,PKD2
DNAJB14,FGF2
ZNF330,GAB1
ZNF330,TBC1D9
ZNF330,SCARB2
ZNF330,GAR1
ZNF330,HERC5
ZNF330,PRDM8
ZNF330,PDE5A
ZNF330,SMARCA5
ZNF330,HERC6
ZNF330,SCD5
ZNF330,INPP4B
ZNF330,SPATA5
ZNF330,TMEM150C
ZNF330,ADH5
ZNF330,NPNT
ZNF330,RAB33B
ZNF330,SLC10A7
ZNF330,PRKG2
ZNF330,ARHGAP24
ZNF330,PPM1K
INPP4B,GAR1
INPP4B,MTHFD2L
INPP4B,SYNPO2
INPP4B,ABRAXAS1
INPP4B,STBD1
INPP4B,NAA15
INPP4B,UBE2D3
INPP4B,ZNF330
INPP4B,ADH1B
INPP4B,LARP1B
INPP4B,AIMP1
INPP4B,HNRNPDL
INPP4B,ADH1C
INPP4B,BMP3
INPP4B,PCDH18
INPP4B,ABCE1
FGF2,TBCK
FGF2,TBC1D9
FGF2,C4orf36
FGF2,CCNG2
FGF2,PLA2G12A
FGF2,EMCN
FGF2,DNAJB14
FGF2,FRAS1
FGF2,SPATA5
FGF2,TMEM150C
FGF2,ADH5
FGF2,NDNF
FGF2,ANXA3
FGF2,NPNT
FGF2,SLC10A7
FGF2,WDFY3-AS2
FGF2,COX18
FRAS1,SNCA
FRAS1,FGF2
FRAS1,ELF2
FRAS1,BMP3
FRAS1,AFF1
EIF4E,CASP6
EIF4E,GYPE
EIF4E,HSD17B11
EIF4E,C4orf36
EIF4E,CCNG2
EIF4E,BBS12
EIF4E,MTHFD2L
EIF4E,HERC5
EIF4E,HPGDS
EIF4E,COQ2
EIF4E,PAPSS1
EIF4E,PDE5A
EIF4E,MAD2L1
EIF4E,SCD5
EIF4E,MANBA
EIF4E,ABHD18
EIF4E,ADH1B
EIF4E,ADH5
EIF4E,NDNF
EIF4E,HADH
EIF4E,LARP1B
EIF4E,LINC01094
EIF4E,HNRNPDL
EIF4E,BMP3
EIF4E,ANTXR2
