Gene_1,Gene_2
HSPA4L,TNIP3
HSPA4L,INTU
HSPA4L,MGST2
HSPA4L,MFSD8
HSPA4L,SPRY1
HSPA4L,SPARCL1
HSPA4L,ELMOD2
HSPA4L,NFKB1
HSPA4L,NUP54
HSPA4L,C4orf3
HSPA4L,PLK4
HSPA4L,G3BP2
HSPA4L,GPRIN3
C4orf33,ANKRD50
C4orf33,HSPA4L
C4orf33,MAML3
C4orf33,SLC39A8
C4orf33,LIN54
C4orf33,PDE5A
C4orf33,RAP1GDS1
C4orf33,ENPEP
C4orf33,EXOSC9
C4orf33,EIF4E
C4orf33,INPP4B
C4orf33,METAP1
C4orf33,DAPP1
C4orf33,HERC6
C4orf33,TBCK
C4orf33,ZNF827
C4orf33,RCHY1
C4orf33,OSTC
C4orf33,NDUFC1
C4orf33,CDS1
C4orf33,CXCL11
C4orf33,BBS7
C4orf33,SCARB2
C4orf33,SCOC
C4orf33,MAD2L1
C4orf33,NAP1L5
C4orf33,CXCL5
C4orf33,GAR1
C4orf33,LARP1B
C4orf33,SCLT1
C4orf33,MANBA
C4orf33,PLA2G12A
C4orf33,PF4
C4orf33,PKD2
C4orf33,SDAD1
C4orf33,LSM6
C4orf33,UBE2D3
C4orf33,RASSF6
C4orf33,STBD1
C4orf33,COQ2
C4orf33,BANK1
C4orf33,PTPN13
C4orf33,MTHFD2L
C4orf33,SMARCAD1
C4orf33,CXCL1
C4orf33,ENOPH1
C4orf33,ZNF330
C4orf33,USP38
C4orf33,LARP7
C4orf33,MRPL1
C4orf33,HHIP
C4orf33,HERC3
C4orf33,PDLIM5
C4orf33,PRSS12
C4orf33,SEC24D
C4orf33,ADH1C
C4orf33,WDFY3
C4orf33,CXCL2
C4orf33,MAPK10
C4orf33,HERC5
C4orf33,AP1AR
C4orf33,DNAJB14
C4orf33,TMEM150C
C4orf33,HSD17B11
C4orf33,ANK2
C4orf33,INTU
C4orf33,COX18
C4orf33,SPARCL1
C4orf33,PRDM8
C4orf33,NFKB1
C4orf33,NUP54
C4orf33,CAMK2D
C4orf33,GPRIN3
CCNI,ANKRD50
CCNI,HSPA4L
CCNI,TET2
CCNI,ADH5
CCNI,PAQR3
CCNI,RAP1GDS1
CCNI,CCNG2
CCNI,EXOSC9
CCNI,EIF4E
CCNI,METAP1
CCNI,THAP6
CCNI,METTL14
CCNI,ABCE1
CCNI,SLC10A7
CCNI,PGRMC2
CCNI,ALPK1
CCNI,ANKRD17
CCNI,OSTC
CCNI,ANTXR2
CCNI,NDUFC1
CCNI,SPP1
CCNI,TSPAN5
CCNI,PAPSS1
CCNI,SCARB2
CCNI,SCOC
CCNI,MAD2L1
CCNI,CXCL5
CCNI,GAR1
CCNI,LARP1B
CCNI,KLHL8
CCNI,FGF2
CCNI,COPS4
CCNI,NUDT9
CCNI,PCDH18
CCNI,PLA2G12A
CCNI,SMARCA5
CCNI,SDAD1
CCNI,LSM6
CCNI,UBE2D3
CCNI,CFI
CCNI,LEF1
CCNI,PPBP
CCNI,UNC5C
CCNI,ANXA5
CCNI,COQ2
CCNI,BANK1
CCNI,ABCG2
CCNI,PTPN13
CCNI,SMARCAD1
CCNI,RPL34
CCNI,ENOPH1
CCNI,GSTCD
CCNI,PPP3CA
CCNI,USP38
CCNI,SETD7
CCNI,LARP7
CCNI,MRPL1
CCNI,HERC3
CCNI,PDLIM5
CCNI,SEC24D
CCNI,WDFY3
CCNI,SEC31A
CCNI,PPM1K
CCNI,ARSJ
CCNI,AP1AR
CCNI,HSD17B11
CCNI,SGMS2
CCNI,ARHGAP24
CCNI,ELMOD2
CCNI,NUP54
CCNI,CAMK2D
CCNI,C4orf3
CCNI,PLK4
MAML3,ANKRD50
MAML3,RASGEF1B
MAML3,C4orf33
MAML3,TET2
MAML3,ADH5
MAML3,PAQR3
MAML3,RAP1GDS1
MAML3,EIF4E
MAML3,METTL14
MAML3,RCHY1
MAML3,ALPK1
MAML3,FAM13A
MAML3,ANTXR2
MAML3,SEC24B
MAML3,PAPSS1
MAML3,BBS7
MAML3,USP53
MAML3,SCARB2
MAML3,IL15
MAML3,MAD2L1
MAML3,NAP1L5
MAML3,KLHL8
MAML3,SCLT1
MAML3,MANBA
MAML3,BTC
MAML3,PLA2G12A
MAML3,SMARCA5
MAML3,PKD2
MAML3,OTUD4
MAML3,UBE2D3
MAML3,LEF1
MAML3,PPBP
MAML3,RASSF6
MAML3,AIMP1
MAML3,ANXA5
MAML3,COQ2
MAML3,BMP2K
MAML3,ABCG2
MAML3,PTPN13
MAML3,MTHFD2L
MAML3,ENOPH1
MAML3,ZNF330
MAML3,GSTCD
MAML3,USP38
MAML3,MMAA
MAML3,HERC3
MAML3,WDFY3
