Gene_1,Gene_2
HHIP,SEC24D
HHIP,NUDT9
HHIP,ADH5
HHIP,MCUB
HHIP,BMP3
HHIP,NAAA
HHIP,CDKL2
HHIP,SLC39A8
HHIP,ANXA3
HHIP,ARHGEF38
HHIP-AS1,INPP4B
HHIP-AS1,PTPN13
HHIP-AS1,NOCT
HHIP-AS1,KLHL8
HHIP-AS1,CYP2U1
HHIP-AS1,PAQR3
HHIP-AS1,SEC24B
HHIP-AS1,BMP3
HHIP-AS1,CDKL2
HHIP-AS1,SLC39A8
HNRNPD,INTU
HNRNPD,DNAJB14
HNRNPDL,PCDH18
HNRNPDL,HPSE
HNRNPDL,MGST2
HNRNPDL,LAMTOR3
HNRNPDL,ANTXR2
HNRNPDL,SPP1
HNRNPDL,PGRMC2
HNRNPDL,WDFY3-AS2
HPGDS,BMP2K
HSD17B11,MANBA
HSD17B11,TNIP3
HSD17B11,COQ2
HSD17B11,PKD2
HSD17B11,SMARCA5
HSD17B11,FGF2
HSD17B11,PDLIM5
HSD17B11,ADH5
HSD17B11,LARP1B
HSD17B11,GPRIN3
HSD17B11,LINC01094
HSD17B11,BMP3
HSD17B11,LAMTOR3
HSD17B11,NDNF
HSPA4L,INTU
HSPA4L,LAMTOR3
HSPA4L,PRSS12
HSPA4L,CDS1
HSPA4L,EIF4E
HSPA4L,ADH1C
HSPA4L,FAM47E
HSPA4L,LINC01091
HSPA4L,PRDM8
HSPA4L,SYNPO2
HSPA4L,HHIP
HSPA4L,BANK1
HSPA4L,MAPK10
HSPA4L,BTC
HSPA4L,RASSF6
HSPA4L,TRMT10A
HSPA4L,HADH
HSPA4L,ADH5
HSPA4L,CXCL1
HSPA4L,BBS12
INPP4B,UNC5C
INPP4B,BMP3
INPP4B,LAMTOR3
INPP4B,ARHGEF38
INPP4B,CDKL2
INPP4B,SLC39A8
INPP4B,LINC01094
INTS12,ADH1C
INTS12,DAPP1
INTS12,ABRAXAS1
INTU,OTUD4
INTU,ANTXR2
INTU,MGST2
INTU,FAM47E
INTU,ARHGEF38
INTU,LAMTOR3
JADE1,ZNF330
JADE1,AFF1
JADE1,USP53
JADE1,LAMTOR3
JADE1,ARHGAP24
JADE1,SHROOM3
JADE1,SEC24B
JADE1,LINC01094
JADE1,BMP2K
JADE1,GPRIN3
JADE1,FAM13A
JADE1,CXCL10
JADE1,AREG
JADE1,LARP1B
JADE1,OSTC
JADE1,CNOT6L
JADE1,TNIP3
JADE1,SMAD1
JADE1,MANBA
JADE1,PCDH18
JADE1,ANKRD50
JADE1,CXCL2
KLHL8,SLC10A7
KLHL8,ADH5
KLHL8,NFKB1
LAMTOR3,SLC39A8
LAMTOR3,NOCT
LAMTOR3,ABCE1
LAMTOR3,AFF1
LAMTOR3,MGST2
LAMTOR3,USP53
LAMTOR3,OTUD4
LARP1B,CCNI
LARP1B,ANTXR2
LARP1B,LINC01094
LARP1B,USP53
LARP1B,SHROOM3
LARP1B,BMP3
LARP1B,PAQR3
LARP1B,LAMTOR3
LARP1B,CISD2
LARP1B,AREG
LARP1B,MGST2
LARP1B,ARHGEF38
LARP1B,NAAA
LARP1B,PCDH18
LARP1B,ABCE1
LARP1B,HNRNPDL
LARP1B,NUDT6
LARP1B,ADH1C
LARP7,OSTC
LARP7,AFF1
LARP7,BLTP1
LARP7,SPRY1
LARP7,ABHD18
LARP7,ZGRF1
LARP7,PARM1
LARP7,CCNI
LARP7,PYURF
LARP7,MGST2
LEF1,HADH
LEF1,SLC39A8
LEF1,PLAC8
LIN54,AFF1
LIN54,MGST2
LIN54,PPM1K
LIN54,PPP3CA
LIN54,PCDH18
LINC01088,HHIP
LINC01088,FRAS1
LINC01088,COX18
LINC01091,SLC39A8
LINC01091,ADH1C
LINC01091,INTU
LINC01091,PGRMC2
LINC01091,FAM47E
LINC01091,MAPK10
LINC01094,INTU
LINC01094,HPSE
LINC01094,COX18
LINC01094,FAM47E
LINC01094,LAMTOR3
LINC01094,SHROOM3
LINC02615,PGRMC2
LINC02615,SLC39A8
LINC02615,CCNI
LINC02615,MGST2
LSM6,LARP1B
LSM6,SEPTIN7P14
LSM6,H2AZ1
LSM6,BLTP1
LSM6,ADH5
LSM6,GTF2IP12
LSM6,LINC01094
LSM6,LAMTOR3
LSM6,CISD2
LSM6,MGST2
LSM6,OTUD4
LSM6,C4orf3
MAD2L1,ANXA3
MAD2L1,NFKB1
MAD2L1,LINC02615
MAD2L1,BLTP1
MAML3,ANXA3
MAML3,SEPTIN11
MAML3,OSTC
MAML3,SEC24B
MAML3,WDFY3-AS2
MAML3,USO1
MAML3,MCUB
MAML3,ANKRD50
MAML3,ARHGAP24
MAML3,USP53
MAML3,AFF1
MAML3,PPM1K
MANBA,INTU
MANBA,INPP4B
MANBA,FGF2
MANBA,CXCL1
MANBA,ALPK1
MANBA,MCUB
MANBA,LARP1B
MANBA,CISD2
MANBA,HNRNPDL
MANBA,FAM13A
MANBA,ANXA5
MANBA,HPSE
MANBA,FAM47E
