protein1,protein2
CXCL10,CXCL8
CXCL10,IL1B
CXCL10,CSF3
CXCL10,IL12A
CXCL10,IL18
MRPL39,MRPS18C
MRPL39,MRPL1
SF3B3,LSM6
PPP4R4,PPP3CA
SYNPO2,BAG3
CEP89,SCLT1
IL7R,IL15
ANTXR2,ANTXR1
ANTXR2,FURIN
FOS,AREG
FOS,MAPK10
FOS,BTC
ITPR1,PKD2
ITPR1,BANK1
ITPR1,PRKG2
ITPR1,ANK2
UQCRFS1,NDUFC1
SHCBP1,CCNA2
RAB33B,ATG16L1
RAB33B,COG7
RAB33B,MAN2A2
RAB33B,TBC1D25
RAB33B,COG3
RAB33B,GOLGA5
RAB33B,COG2
RAB33B,RAB33A
RAB33B,GOSR1
RAB33B,BET1L
RAB33B,COG5
RAB33B,COG8
RAB33B,MAN2A1
RAB33B,YKT6
RAB33B,ATG16L2
RAB33B,CUX1
RAB33B,GOLIM4
RAB33B,STX5
RAB33B,COG1
RAB33B,COG4
RAB33B,COG6
CXCL8,LPAR2
CXCL8,SDC2
CXCL8,LYN
CXCL8,MAPK14
CXCL8,UBE2S
CXCL8,CCL20
CXCL8,IL10
CXCL8,SDC3
CXCL8,CCL22
CXCL8,CCL3
CXCL8,ARRB2
CXCL8,ARRB1
CXCL8,HCK
CXCL8,CEBPB
CXCL8,PTGS2
CXCL8,GNA15
CXCL8,IL13
CXCL8,MAPK11
CXCL8,ADRBK1
CXCL8,DNM1
CXCL8,CCL3L3
CXCL8,CXCL10
CXCL8,CSF2
CXCL8,ACKR1
CXCL8,ATF4
CXCL8,DIS3
CXCL8,DCP2
CXCL8,RAB11A
CXCL8,LPAR1
CXCL8,UBE2C
CXCL8,PPP2CA
CXCL8,TNF
CXCL8,GNAI2
CXCL8,PPP2R1A
CXCL8,TNFAIP6
CXCL8,RAB7A
CXCL8,IL12B
CXCL8,LIF
CXCL8,EP300
CXCL8,IL4
CXCL8,CCL2
CXCL8,CDC23
CXCL8,IL1A
CXCL8,CCL4
CXCL8,GNB1
CXCL8,CXCR1
CXCL8,GNG2
CXCL8,KHSRP
CXCL8,PARN
CXCL8,JUN
CXCL8,CCR5
CXCL8,CCL5
CXCL8,CREBBP
CXCL8,NFKB1
CXCL8,RELA
CXCL8,CXCR2
CXCL8,IL1B
CXCL8,RAB5A
CXCL8,LPAR3
CXCL8,IL6
CXCL8,CXCR4
CXCL8,CSF3
CXCL8,STAT3
CXCL8,FGR
CXCL8,UBE2D1
CXCL8,IL18
CXCL8,VASP
CXCL8,EHMT2
CXCL8,IL12A
MRPL13,MRPS18C
MRPL13,MRPL1
ADH1B,COMT
ADH1B,UGT2B11
ADH1B,BCO1
ADH1B,CYP2A6
ADH1B,AOX1
ADH1B,ALDH2
ADH1B,CYP2S1
ADH1B,CYP27C1
ADH1B,CYP26A1
ADH1B,SULT1A1
ADH1B,SULT1A2
ADH1B,RETSAT
ADH1B,CYP4X1
ADH1B,ADH1C
ADH1B,MAOA
ADH1B,ADH1A
ADH1B,ALDH3A2
ADH1B,CYP2E1
ADH1B,LRAT
PPIH,LSM6
GABARAP,WDFY3
GABARAP,ANK2
SEC23A,SEC31A
SEC23A,SEC24B
SEC23A,SEC24D
CXCL11,CCR5
CXCL11,CCR3
CXCL11,MAP2K3
CXCL11,CXCR3
CXCL11,MAP2K6
CXCL11,CXCL9
CXCL11,MN1
CXCL11,HIST1H1A
CXCL11,CXCR4
CXCL11,PF4V1
CXCL11,PF4
CXCL11,ACKR3
CXCL11,CXCL10
CXCL11,CXCL13
ESCO2,MAD2L1
ESCO2,CCNA2
SDC2,CXCL8
SDC2,HPSE
SDC2,FGF2
SDC2,GAB1
DEGS2,SGMS2
CTNND2,LEF1
FAM103A1,EIF4E
BPTF,PPA2
BPTF,SMARCA5
RPTOR,EIF4E
RPTOR,LAMTOR3
MCM7,CCNA2
MCM7,MAD2L1
MLLT10,AFF1
QARS,AIMP1
TSPAN5,TSPAN15
TSPAN5,TSPAN14
TSPAN5,TSPAN33
TSPAN5,ADAM10
TSPAN5,APP
CYCS,COX18
CYCS,PPP3CA
RPL13,MRPL1
RPL13,RPL34
EEF2,RPL34
CYP2S1,ADH1B
WDR3,EXOSC9
RGMB,SMAD1
COMMD1,COPS4
MRPL38,MRPL1
MRPL38,MRPS18C
SEC16B,SEC31A
SEC16B,SEC24D
LEMD3,SMAD1
H2AFV,LEF1
EIF4EBP3,EIF4E
GEMIN2,NUP54
MEPCE,LARP7
GLE1,NUP54
MRPL48,MRPL1
MRPL11,MRPL1
MRPL11,MRPS18C
PTPN7,PTPN13
RPL15,RPL34
PSMD1,HNRNPD
PSMD1,NFKB1
UQCRH,NDUFC1
TERT,GAR1
TERT,CCNA2
TERT,NFKB1
PRKACA,GAB1
PRKACA,NFKB1
RPL38,RPL34
ADAM17,BTC
PSMD2,NFKB1
PSMD2,HNRNPD
HSPA6,NUP54
RAB1B,USO1
INTS6,INTS12
SART1,LSM6
LCLAT1,CDS1
PSMC5,HNRNPD
PSMC5,NFKB1
LSM1,LSM6
NUP93,HSPA4L
NUP93,EIF4E
NUP93,NUP54
DDX23,LSM6
MRPL57,MRPL1
COQ2,PMPCA
COQ2,PDSS2
COQ2,COQ9
COQ2,COQ7
COQ2,PDSS1
COQ2,SALL3
COQ2,ADCK3
COQ2,COQ6
COQ2,ADCK4
COQ2,COQ5
COQ2,PITRM1
COQ2,COQ4
COQ2,PMPCB
COQ2,COQ3
CASP3,EIF4E
CASP3,CASP6
CASP3,ANXA5
CKS1B,CCNA2
CKS1B,MAD2L1
CYP4A11,CYP2U1
PSMA8,HNRNPD
PSMA8,NFKB1
DHX37,SDAD1
ACOT1,SCD5
ZWILCH,MAD2L1
RPL4,RPL34
RPL4,ABCE1
GSTM1,SPP1
C12orf66,LAMTOR3
RSF1,SMARCA5
ARR3,MAPK10
UGT8,SGMS2
PTPN2,PTPN13
PTPN2,GAB1
ADRBK1,CXCL8
MRPL46,MRPS18C
MRPL46,MRPL1
KLHL3,KLHL8
CASP2,EIF4E
CASP2,CASP6
USP39,LSM6
HNF4A,LEF1
NFKBIB,NFKB1
GNAI2,CXCL8
PABPC1,EIF4E
PABPC1,HNRNPD
PABPC1,CNOT6L
HNRNPD,PSMD11
HNRNPD,HSPA4
HNRNPD,PCBP2
HNRNPD,PSMB2
HNRNPD,HNRNPH1
HNRNPD,HNRNPF
HNRNPD,PSMA2
HNRNPD,PTBP1
HNRNPD,PSMC6
HNRNPD,PSMB4
HNRNPD,HNRNPR
HNRNPD,PSMA8
HNRNPD,PSMD10
HNRNPD,HNRNPH2
HNRNPD,HNRNPU
HNRNPD,HSPB1
HNRNPD,PCBP1
HNRNPD,PSMD14
HNRNPD,HNRNPK
HNRNPD,PSMC5
HNRNPD,UBA52
HNRNPD,PSMB7
HNRNPD,PSMB11
HNRNPD,PSMD3
HNRNPD,PSMA5
HNRNPD,PSMC4
HNRNPD,PSMD9
HNRNPD,PSME2
HNRNPD,RALY
HNRNPD,PSMC1
HNRNPD,PSME4
HNRNPD,PSMD8
HNRNPD,PSMD7
HNRNPD,PSME1
HNRNPD,PSMA7
HNRNPD,UBB
HNRNPD,YBX1
HNRNPD,HNRNPA2B1
HNRNPD,EXOSC2
HNRNPD,PSMD4
HNRNPD,PSMA4
HNRNPD,HSPA8
HNRNPD,EIF4G1
HNRNPD,HNRNPM
HNRNPD,KHSRP
HNRNPD,HNRNPA1
HNRNPD,RBMX
HNRNPD,PSMB8
HNRNPD,PSMD1
HNRNPD,PSMA1
HNRNPD,PSMB1
HNRNPD,PSMC2
HNRNPD,PABPC1
HNRNPD,PSME3
HNRNPD,PSMD13
HNRNPD,AGO2
HNRNPD,PSMB3
HNRNPD,PSMA6
HNRNPD,UBC
HNRNPD,PSMD12
HNRNPD,PSMC3
HNRNPD,TNPO1
HNRNPD,PSMB10
HNRNPD,RPS27A
HNRNPD,PSMB6
HNRNPD,HNRNPL
HNRNPD,PSMD2
HNRNPD,PAIP1
HNRNPD,HNRNPC
HNRNPD,HNRNPA0
HNRNPD,PSMF1
HNRNPD,PSMB5
HNRNPD,HNRNPA3
HNRNPD,PSMA3
HNRNPD,PSMD6
FUZ,INTU
UBA6,UBE2D3
ABCF1,ABCE1
GORASP1,USO1
CD46,CFI
AURKB,NUP54
AURKB,CCNA2
AURKB,MAD2L1
ANAPC2,MAD2L1
ANAPC2,ANAPC10
DNAJA2,HSPA4L
AGPAT4,CDS1
VAMP2,SNCA
DDX10,SDAD1
GBA,SCARB2
GBA,SNCA
GBA,SGMS2
IL1RAP,NFKB1
MRPL1,MRPL28
MRPL1,MRPL47
MRPL1,MRPL15
MRPL1,MRPL52
MRPL1,FAU
MRPL1,MRPS18A
MRPL1,MRPL57
MRPL1,MRPL16
MRPL1,MRPS9
MRPL1,MRPL22
MRPL1,RPL11
MRPL1,MRPL19
MRPL1,MRPL4
MRPL1,RPS8
MRPL1,MRPL9
MRPL1,RPL35
MRPL1,MRPL33
MRPL1,RPL23A
MRPL1,MRPL30
MRPL1,RPS11
MRPL1,MRPL54
MRPL1,MRPS18C
MRPL1,MRPL36
MRPL1,RPS15
MRPL1,MRPL50
MRPL1,MRPL27
MRPL1,MRPS16
MRPL1,RPL31
MRPL1,MRPL21
MRPL1,MRPL45
MRPL1,RPS29
MRPL1,RPS20
MRPL1,ICT1
MRPL1,MRPL49
MRPL1,MRPL44
MRPL1,RPL18A
MRPL1,RPS18
MRPL1,RPL5
MRPL1,MRPL17
MRPL1,MRPL39
MRPL1,RPL23
MRPL1,MRPL2
MRPL1,MRPL40
MRPL1,MRPL43
MRPL1,MRPL48
MRPL1,MRPL38
MRPL1,MRPL13
MRPL1,MRPL53
MRPL1,MRPL14
MRPL1,MRPL42
MRPL1,MRPL46
MRPL1,MRPL12
MRPL1,MRPL37
MRPL1,RPL9
MRPL1,MRPL34
MRPL1,RPS3
MRPL1,RPL13
MRPL1,MRPS14
MRPL1,MRPS10
MRPL1,MRPL32
MRPL1,MRPL10
MRPL1,MRPL41
MRPL1,MRPS7
MRPL1,IMP3
MRPL1,TUFM
MRPL1,MRPL24
MRPL1,MRPS5
MRPL1,MRPL11
MRPL1,MRPL20
MRPL1,MRPL3
ADCK4,COQ2
SGPP2,SGMS2
ALOX12B,CYP2U1
SHQ1,GAR1
PRPF3,LSM6
MRPS31,MRPS18C
EXOSC4,EXOSC9
TYMS,MAD2L1
TYMS,CCNA2
TYMS,MTHFD2L
CCNG2,FOXO1
CCNG2,FOXO3
CCNG2,FOXO4
NDUFS8,NDUFC1
COG4,RAB33B
TLN1,ANXA5
NUP98,MAD2L1
NUP98,HSPA4L
NUP98,EIF4E
NUP98,NUP54
HNRNPA0,HNRNPD
SCD5,ACOT2
SCD5,ACOT4
SCD5,ACOT1
SCD5,CD4
SCD5,ITIH4
SCD5,SREBF2
SCD5,EGR2
SCD5,ELOVL6
PACS1,PKD2
DEGS1,SGMS2
BIN1,PPP3CA
SNRNP200,LSM6
CYC1,NDUFC1
MET,GAB1
LPCAT4,CDS1
SSR4,OSTC
TCP1,BBS12
TCP1,BBS7
MRPS11,MRPS18C
BBS1,BBS12
BBS1,BBS7
COX5A,NDUFC1
WDTC1,COPS4
NOC2L,SDAD1
MRPS24,MRPS18C
RUVBL1,SMARCA5
RUVBL1,COPS4
RUVBL1,GAR1
BCKDHB,PPM1K
MAF1,LAMTOR3
INTS3,INTS12
RPS15A,ABCE1
RPS15A,RPL34
HSPH1,HSPA4L
BHLHE22,PRDM8
SF3B2,LSM6
SHMT1,MTHFD2L
PINX1,SDAD1
CAMK2G,CAMK2D
MAGOHB,LSM6
KCNMB3,PRKG2
CXCR2,CXCL3
CXCR2,PPBP
CXCR2,CXCL1
CXCR2,CXCL5
CXCR2,CXCL2
CXCR2,CXCL8
MRPS23,MRPS18C
ARSJ,SUMF2
ARSJ,SUMF1
ELL3,AFF1
EDC3,LSM6
BANK1,ITPR1
BANK1,LYN
BANK1,BLK
RNF168,UBE2D3
RNF168,SMARCA5
CNOT1,CNOT6L
CNOT1,EIF4E
TAC1,ANK2
TNIP2,NFKB1
RCHY1,RFC5
RCHY1,PCNA
RCHY1,UBE2D2
RCHY1,GORAB
RCHY1,RFC1
RCHY1,TP53
RCHY1,RFC3
RCHY1,POLH
RCHY1,RPA3
RCHY1,RFC2
RCHY1,AR
RCHY1,TP73
RCHY1,RFC4
IL23R,NFKB1
CDC25C,CCNA2
DIS3L,EXOSC9
ING5,JADE1
DPM2,PYURF
COQ7,COQ2
RPLP2,RPL34
TUFM,MRPL1
NDUFV1,NDUFC1
SIAH2,SNCA
SCN4B,ANK2
MMP1,FGF2
EBF1,TET2
EXOSC3,EXOSC9
ACOT4,SCD5
ATRIP,CCNA2
SPAG5,CCNA2
SOX2,FGF2
UBE2O,UBE2D3
PLEC,RPL34
PRKAG1,LAMTOR3
TRIM25,HERC5
FZD2,DKK2
FZD2,MAPK10
KIF15,CCNA2
PRPF31,LSM6
POLR2L,METTL14
HSPA5,SNCA
HSPA5,NUP54
WRAP53,GAR1
WRAP53,CCNA2
FBF1,SCLT1
CYP2B6,CYP2U1
PPP2R1A,PPP3CA
PPP2R1A,CXCL8
GSK3B,SMARCA5
GSK3B,PPP3CA
AACS,BDH2
MBOAT1,CDS1
NCAPD2,CCNA2
NCAPD2,MAD2L1
PPP2R2A,PPP3CA
HADHB,HADH
METAP2,METAP1
HNRNPM,HNRNPD
WDR33,NUP54
KARS,AIMP1
CERS5,SGMS2
NFKBIZ,NFKB1
SEC16A,SEC31A
SEC16A,SEC24B
SEC16A,SEC24D
PPP1CA,PPP3CA
PPP1CA,SMAD1
FRAS1,FREM2
FRAS1,FREM1
FRAS1,NPNT
ATG16L2,RAB33B
EIF4A2,CNOT6L
EIF4A2,EIF4E
TACC3,CCNA2
TACC3,MAD2L1
CUL1,COPS4
CUL1,CCNA2
NCBP2,EIF4E
NCBP2,METTL14
IMP3,RPL34
IMP3,MRPL1
LMNB2,CASP6
CIRH1A,SDAD1
PPM1A,SMAD1
NDUFV2,NDUFC1
NKX2-5,SMAD1
XPOT,NUP54
INTS5,INTS12
PIF1,GAR1
HIST1H2AJ,SMARCA5
DNMT3B,SMARCA5
RAB28,RAP1GDS1
HEXIM1,LARP7
RBM10,ARHGAP24
TRAK1,CAMK2D
HAX1,PKD2
LIN9,LIN54
SP1,CCNA2
SP1,MAPK10
PPAP2C,SGMS2
CADM1,PTPN13
CASP9,CASP6
CASP9,EIF4E
MAPK8IP2,MAPK10
NDUFA12,NDUFC1
NDUFB1,NDUFC1
RPS27L,RPL34
HGS,HPSE
KREMEN1,DKK2
WT1,TET2
KLHL22,KLHL8
MRPL54,MRPS18C
MRPL54,MRPL1
NAA38,LSM6
NAA38,NAA15
HIST2H2AC,LEF1
NOP10,GAR1
PTCH1,HHIP
EIF3C,ABCE1
UQCR10,NDUFC1
SMAD3,PTPN13
SMAD3,LEF1
SMAD3,UBE2D3
CYP2U1,ASMT
CYP2U1,CYP2C9
CYP2U1,UGT2B11
CYP2U1,CYP2J2
CYP2U1,CYP2C19
CYP2U1,ALOX5
CYP2U1,PTGS2
CYP2U1,CYP4F8
CYP2U1,CYP2C8
CYP2U1,ALOX12
CYP2U1,ALOX12B
CYP2U1,ALOX15
CYP2U1,SULT1A2
CYP2U1,PTGS1
CYP2U1,SULT1A1
CYP2U1,CYP4A11
CYP2U1,CYP4A22
CYP2U1,CYP4F2
CYP2U1,CYP4F3
CYP2U1,ALOX15B
CYP2U1,CYP2E1
CYP2U1,CYP2B6
UBA7,HERC5
UBA7,UBE2D3
MRPL40,MRPL1
MRPL40,MRPS18C
MX2,HERC5
ACAA1,HADH
ADI1,ENOPH1
SHMT2,MTHFD2L
MAPK11,CXCL8
MAPK11,EIF4E
MRPL12,MRPL1
TTF1,SMARCA5
COQ6,COQ2
NDEL1,ANK2
INTU,RSG1
INTU,WDPCP
INTU,GLI3
INTU,FUZ
INTU,SUFU
INTU,GLI1
INTU,GLI2
CYP27C1,ADH1C
CYP27C1,ADH1B
GNG2,CXCL10
GNG2,CXCL8
GATA4,SMAD1
BMP2K,PICALM
BMP2K,REPS1
BMP2K,NUMB
PTPRB,SPRY1
HSP90AA1,BTC
SF3B1,SMARCA5
SF3B1,LSM6
CDKN3,MAD2L1
CDKN3,CCNA2
NAA20,NAA15
TNPO1,HNRNPD
FIP1L1,NUP54
ATF4,CXCL8
ACTR8,COPS4
CENPA,CCNA2
CENPA,MAD2L1
HFE2,SMAD1
ZFYVE16,SMAD1
EPB41L1,CAMK2D
LRAT,ADH1C
LRAT,ADH5
LRAT,ADH1B
SIRT6,SMARCA5
NLRP3,NFKB1
IL17F,FGF2
ARL6,BBS7
LCK,DAPP1
LCK,NFKB1
LCK,SNCA
LCK,PTPN13
KPTN,LAMTOR3
PSMF1,NFKB1
PSMF1,HNRNPD
MRPL30,MRPS18C
MRPL30,MRPL1
HEY1,MAML3
SNCA,SIAH1
SNCA,CALM1
SNCA,FGR
SNCA,SIAH2
SNCA,TOR1A
SNCA,PARK7
SNCA,PLCB2
SNCA,SLC18A2
SNCA,FKBP1A
SNCA,VAMP2
SNCA,STUB1
SNCA,HSPA8
SNCA,LCK
SNCA,CAPN1
SNCA,SRC
SNCA,TOMM20
SNCA,HSPA9
SNCA,CSNK2A1
SNCA,SLC6A3
SNCA,RAB3A
SNCA,PSMC3
SNCA,PLD2
SNCA,MAPT
SNCA,GAPDH
SNCA,APP
SNCA,HTT
SNCA,LAG3
SNCA,PARK2
SNCA,HSPA4
SNCA,PLD1
SNCA,PRNP
SNCA,SNCAIP
SNCA,FYN
SNCA,SEPT4
SNCA,UCHL1
SNCA,YES1
SNCA,TH
SNCA,GRK5
SNCA,PINK1
SNCA,APOE
SNCA,PRKCD
SNCA,VDAC1
SNCA,GBA
SNCA,BAD
SNCA,TPPP
SNCA,LYN
SNCA,KLK6
SNCA,SYK
SNCA,BLK
SNCA,HCK
SNCA,CRYAB
SNCA,HSPA5
SNCA,LRRK2
SNCA,TLR2
UBE2G2,UBE2D3
UBA1,UBE2D3
GNL3L,SDAD1
GNL3L,GAR1
BAG5,HSPA4L
SEC23B,SEC24B
SEC23B,SEC24D
SEC23B,SEC31A
BRIX1,GAR1
EEF1A1,RPL34
RBMX2,LSM6
RPS7,RPL34
RPS7,ABCE1
ANAPC1,MAD2L1
ANAPC1,ANAPC10
GRAP2,GAB1
CAV1,SMAD1
YTHDC1,METTL14
NDUFA4,NDUFC1
CAMK2D,CALM3
CAMK2D,KDM7A
CAMK2D,KIAA1549
CAMK2D,JAK2
CAMK2D,LMNA
CAMK2D,TRIM24
CAMK2D,MECP2
CAMK2D,HDAC5
CAMK2D,MEF2D
CAMK2D,TRAK1
CAMK2D,HSF1
CAMK2D,HES1
CAMK2D,AP3B1
CAMK2D,GRIA4
CAMK2D,GRIA2
CAMK2D,CREB1
CAMK2D,RYR2
CAMK2D,STAT1
CAMK2D,CALM1
CAMK2D,HRAS
CAMK2D,CACNG3
CAMK2D,PARP1
CAMK2D,PPM1F
CAMK2D,BCL2L11
CAMK2D,FXR1
CAMK2D,MARK3
CAMK2D,GRIA1
CAMK2D,MYO6
CAMK2D,GRIA3
CAMK2D,EPB41L1
CAMK2D,CACNG2
CAMK2D,MEF2C
CAMK2D,CACNG8
CAMK2D,IFNGR2
CAMK2D,YWHAB
CAMK2D,MPRIP
CAMK2D,JAK1
CAMK2D,FAM131B
CAMK2D,QKI
CAMK2D,CALM2
CAMK2D,MEF2A
CAMK2D,KRAS
CAMK2D,NRAS
CAMK2D,MAPT
CAMK2D,CAMK2B
CAMK2D,CAMK2G
CAMK2D,KSR1
CAMK2D,CAMK2A
CAMK2D,STMN1
CAMK2D,ESRP1
CAMK2D,ATG7
CAMK2D,CACNG4
PRDM8,BHLHE22
ACSL4,ELOVL6
RPL7,RPL34
RPL7,ABCE1
IDS,HPSE
FGFR3,GAB1
FGFR3,FGF2
MRPL43,MRPL1
MRPL43,MRPS18C
MIOS,LAMTOR3
MYB,LEF1
UBE2V1,UBE2D3
CAPRIN1,G3BP2
ACVR2B,BMP3
ACVR2B,SMAD1
SMPD1,SGMS2
RAP1GDS1,RAB28
RAP1GDS1,RHOA
RAP1GDS1,RAC1
TRIM24,CAMK2D
RASSF6,MDM2
RASSF6,MOAP1
RASSF6,STK3
WNT8B,DKK2
MAOA,ADH1B
EIF4EBP1,LAMTOR3
EIF4EBP1,EIF4E
MAPT,CAMK2D
MAPT,SNCA
GTF2F2,METTL14
MEF2C,PPP3CA
MEF2C,CAMK2D
MIA3,SEC24B
PTPN11,GAB1
PTPN11,PTPN13
MRPL20,MRPS18C
MRPL20,MRPL1
PTK2,PTPN13
PTK2,UNC5C
PTK2,CASP6
STAT5A,IL15
CECR2,SMARCA5
TRADD,NFKB1
SMAD4,MAPK10
SMAD4,LEF1
SMAD4,SMAD1
SMAD4,UBE2D3
PPP1CC,PPP3CA
HNRNPA1,HNRNPD
RPS2,ABCE1
RPS2,RPL34
SUMF2,ARSJ
LIN54,RBL2
LIN54,E2F1
LIN54,CDC25A
LIN54,MYBL2
LIN54,PCNA
LIN54,RBBP4
LIN54,DYRK1A
LIN54,LIN9
LIN54,E2F5
LIN54,E2F4
LIN54,CCNB2
LIN54,LIN37
LIN54,LIN52
LIN54,CDC6
LIN54,MYBL1
LIN54,RBL1
LIN54,TOP2A
LIN54,CCNB1
LIN54,PLK1
ERBB4,BTC
NUP43,NUP54
NUP43,EIF4E
NUP43,HSPA4L
FOXM1,CCNA2
SNRPD2,LSM6
SNRPD2,NUP54
PTGES,HPGDS
BAZ1B,SMARCA5
ACER2,SGMS2
AURKAIP1,MRPS18C
PLD1,CDS1
PLD1,SNCA
POLR2K,METTL14
UBE4B,UBE2D3
SP100,NUP54
GNAI1,GAB1
LAMTOR4,LAMTOR3
LAMTOR4,EIF4E
JAK1,GAB1
JAK1,CAMK2D
JAK1,HERC5
SEC24C,SEC24D
SEC24C,SEC31A
SEC24C,SEC24B
BRE,ANAPC10
ATR,CCNA2
PPA2,ATP12A
PPA2,ATP4A
PPA2,BPTF
IL17A,FGF2
CTNNB1,NFKB1
CTNNB1,LEF1
SDC3,HPSE
SDC3,CXCL8
SDC3,FGF2
NR4A2,LEF1
NFASC,ANK2
SPRY4,SPRY1
GSTO2,HPGDS
MAP2K3,CXCL11
MAP2K3,CXCL9
MAP2K3,CXCL10
MAP2K3,PF4
RBPJ,MAML3
PTGES2,HPGDS
HMGB1,NFKB1
E2F1,LIN54
E2F1,CCNA2
KCNJ11,ANK2
TOR1A,SNCA
ALDH3A2,ADH1B
DPY30,SETD7
NUP50,EIF4E
NUP50,HSPA4L
RPS21,RPL34
RPS21,ABCE1
RPL3,ABCE1
RPL3,RPL34
RPL36AL,RPL34
RPL27A,RPL34
RPL21,RPL34
RPLP1,RPL34
RPS17,ABCE1
RPS17,RPL34
RPS3A,ABCE1
RPS3A,RPL34
RPSA,RPL34
RPSA,ABCE1
RPL22L1,RPL34
RPL22,RPL34
NDUFV3,NDUFC1
CRKL,GAB1
COPS8,COPS4
MEF2A,PPP3CA
MEF2A,CAMK2D
ATG7,UBE2D3
ATG7,CAMK2D
FYN,DAPP1
FYN,UNC5C
FYN,SNCA
FYN,PTPN13
HNRNPA2B1,HNRNPD
PES1,SDAD1
FN1,FGF2
FN1,SPP1
PDE5A,ALDH7A1
PDE5A,PRKG1
HIST1H4J,SMARCA5
HTT,SNCA
MRPL52,MRPL1
GFRA1,GAB1
SYNJ2,PPP3CA
SYNJ2,INPP4B
UBE2H,UBE2D3
RET,GAB1
FAS,PTPN13
COMMD6,COPS4
SREBF1,ELOVL6
C1D,EXOSC9
ACSL5,ELOVL6
PSMD12,NFKB1
PSMD12,HNRNPD
RAC1,RAP1GDS1
RAC1,GAB1
RAC1,MAPK10
RAC1,SPP1
UBA5,UBE2D3
SDAD1,GNL1
SDAD1,DDX10
SDAD1,NOP9
SDAD1,RPF2
SDAD1,DDX56
SDAD1,LTV1
SDAD1,PINX1
SDAD1,DCAF13
SDAD1,EIF6
SDAD1,NOC3L
SDAD1,MDN1
SDAD1,CIRH1A
SDAD1,MRTO4
SDAD1,BYSL
SDAD1,GLTSCR2
SDAD1,RBM28
SDAD1,TSR1
SDAD1,WDR18
SDAD1,WDR43
SDAD1,PA2G4
SDAD1,ZNF593
SDAD1,CEBPZ
SDAD1,UTP11L
SDAD1,PDCD11
SDAD1,POLR1A
SDAD1,NOB1
SDAD1,ESF1
SDAD1,EBNA1BP2
SDAD1,DDX31
SDAD1,PES1
SDAD1,DHX37
SDAD1,NOC2L
SDAD1,POLR1B
SDAD1,DDX18
SDAD1,POLR3B
SDAD1,GNL3L
SDAD1,NSA2
SDAD1,AATF
SDAD1,GNL3
SDAD1,LSG1
SDAD1,DDX27
SDAD1,DDX49
SDAD1,EXOSC2
SDAD1,RRP12
SDAD1,DDX55
SDAD1,RSL1D1
SDAD1,ENSG00000257411
SDAD1,NLE1
SDAD1,RRP15
SDAD1,UTP15
SDAD1,GNL2
SDAD1,NIFK
SDAD1,NOP14
SDAD1,NMD3
SDAD1,RSL24D1
SDAD1,KIAA0020
SDAD1,NOP2
SDAD1,TEX10
SDAD1,GTPBP4
SDAD1,FBL
RBCK1,UBE2D3
UBE2C,ANAPC10
UBE2C,CCNA2
UBE2C,MAD2L1
UBE2C,CXCL8
UBE2C,UBE2D3
RPS26,RPL34
RPS26,ABCE1
PPP4R2,PPP3CA
SIAH1,SNCA
SIAH1,AFF1
HNRNPH1,HNRNPD
HNRNPH1,HNRNPDL
SPTBN1,ANK2
PTBP1,EIF4E
PTBP1,HNRNPD
PTBP1,HNRNPDL
CALM1,PPP3CA
CALM1,CAMK2D
CALM1,SNCA
RAB4B,GAB1
ANK2,SIGMAR1
ANK2,SCN4B
ANK2,NFASC
ANK2,SPTAN1
ANK2,ANK3
ANK2,ANK1
ANK2,ITPR3
ANK2,PPP2R5A
ANK2,NRCAM
ANK2,ITPR1
ANK2,DCTN4
ANK2,ITPR2
ANK2,KCNJ11
ANK2,TAC1
ANK2,GABARAP
ANK2,NDEL1
ANK2,SCN5A
ANK2,SPTBN1
ANK2,SPTBN4
ANK2,OBSCN
UBE2D3,RNF168
UBE2D3,UBA1
UBE2D3,SMAD4
UBE2D3,RBCK1
UBE2D3,UBE2K
UBE2D3,DCUN1D1
UBE2D3,UBE2R2
UBE2D3,SMAD9
UBE2D3,HIF1A
UBE2D3,UBE2A
UBE2D3,DCUN1D5
UBE2D3,BIRC2
UBE2D3,UBE2B
UBE2D3,UBE2V2
UBE2D3,TLR4
UBE2D3,SMAD2
UBE2D3,UBE2F
UBE2D3,STUB1
UBE2D3,UBE2U
UBE2D3,DDX58
UBE2D3,UBE2D4
UBE2D3,IFIH1
UBE2D3,OTUB1
UBE2D3,UBE2Q2
UBE2D3,RNF4
UBE2D3,ITCH
UBE2D3,CBL
UBE2D3,BARD1
UBE2D3,UBA3
UBE2D3,RBX1
UBE2D3,SMURF2
UBE2D3,WWP2
UBE2D3,UBE2C
UBE2D3,RNF7
UBE2D3,UBE2E2
UBE2D3,UBE3A
UBE2D3,UBA5
UBE2D3,RIPK1
UBE2D3,CDC34
UBE2D3,RPS27A
UBE2D3,SMURF1
UBE2D3,EGLN1
UBE2D3,UBE2V1
UBE2D3,UBE2M
UBE2D3,UBE2O
UBE2D3,UBE2S
UBE2D3,UBC
UBE2D3,PARK2
UBE2D3,UBE2H
UBE2D3,UBXN7
UBE2D3,EGLN3
UBE2D3,BRCA1
UBE2D3,EGFR
UBE2D3,NEDD8
UBE2D3,COMMD8
UBE2D3,MDM2
UBE2D3,UBE2G1
UBE2D3,HIF3A
UBE2D3,NEDD4
UBE2D3,UBA6
UBE2D3,SMAD1
UBE2D3,BMI1
